




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K9ac_k562.intersect_with_DeepZ.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K9ac_k562.intersect_with_DeepZ.genes_uniq.txt (5801)	H3K9ac_k562.intersect_with_DeepZ.genes_uniq.txt (expected)	H3K9ac_k562.intersect_with_DeepZ.genes_uniq.txt (over/under)	H3K9ac_k562.intersect_with_DeepZ.genes_uniq.txt (fold Enrichment)	H3K9ac_k562.intersect_with_DeepZ.genes_uniq.txt (raw P-value)	H3K9ac_k562.intersect_with_DeepZ.genes_uniq.txt (FDR)
protein deubiquitination (GO:0016579)	278	140	78.30	+	1.79	4.84E-08	2.80E-06
positive regulation of biological process (GO:0048518)	6331	2003	1783.25	+	1.12	4.93E-08	2.85E-06
mitochondrial translational elongation (GO:0070125)	88	63	24.79	+	2.54	5.29E-08	3.04E-06
negative regulation of mitotic cell cycle (GO:0045930)	294	146	82.81	+	1.76	5.36E-08	3.06E-06
negative regulation of inflammatory response (GO:0050728)	320	39	90.13	-	.43	5.35E-08	3.06E-06
negative regulation of cellular amide metabolic process (GO:0034249)	206	112	58.02	+	1.93	5.55E-08	3.16E-06
regulation of signal transduction by p53 class mediator (GO:1901796)	201	110	56.62	+	1.94	5.77E-08	3.27E-06
protein polyubiquitination (GO:0000209)	325	157	91.54	+	1.72	6.05E-08	3.41E-06
transport (GO:0006810)	4476	1457	1260.76	+	1.16	6.78E-08	3.81E-06
negative regulation of mitotic cell cycle phase transition (GO:1901991)	240	125	67.60	+	1.85	6.90E-08	3.87E-06
regulation of inflammatory response (GO:0050727)	518	80	145.91	-	.55	7.83E-08	4.36E-06
negative regulation of cellular process (GO:0048523)	4902	1582	1380.75	+	1.15	7.81E-08	4.36E-06
RNA export from nucleus (GO:0006405)	124	78	34.93	+	2.23	8.00E-08	4.44E-06
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	222	22	62.53	-	.35	9.50E-08	5.25E-06
regulation of cellular protein catabolic process (GO:1903362)	256	130	72.11	+	1.80	1.13E-07	6.20E-06
positive regulation of protein metabolic process (GO:0051247)	1562	567	439.97	+	1.29	1.15E-07	6.32E-06
cellular protein complex disassembly (GO:0043624)	138	83	38.87	+	2.14	1.26E-07	6.89E-06
mitochondrial translational termination (GO:0070126)	89	62	25.07	+	2.47	1.64E-07	8.94E-06
regulation of protein modification by small protein conjugation or removal (GO:1903320)	245	125	69.01	+	1.81	1.72E-07	9.35E-06
translational termination (GO:0006415)	97	65	27.32	+	2.38	1.75E-07	9.46E-06
ncRNA transcription (GO:0098781)	94	64	26.48	+	2.42	1.87E-07	1.01E-05
ribosomal large subunit biogenesis (GO:0042273)	72	54	20.28	+	2.66	1.98E-07	1.06E-05
regulation of proteasomal protein catabolic process (GO:0061136)	187	102	52.67	+	1.94	2.06E-07	1.10E-05
regulation of chromosome organization (GO:0033044)	290	141	81.68	+	1.73	2.09E-07	1.12E-05
regulation of cellular component organization (GO:0051128)	2390	822	673.19	+	1.22	2.13E-07	1.13E-05
cellular component disassembly (GO:0022411)	409	184	115.20	+	1.60	2.15E-07	1.14E-05
cell recognition (GO:0008037)	241	26	67.88	-	.38	2.18E-07	1.15E-05
regulation of immune response (GO:0050776)	1183	235	333.22	-	.71	2.17E-07	1.15E-05
B cell mediated immunity (GO:0019724)	205	20	57.74	-	.35	2.54E-07	1.33E-05
negative regulation of biological process (GO:0048519)	5501	1749	1549.47	+	1.13	2.65E-07	1.38E-05
establishment of RNA localization (GO:0051236)	191	103	53.80	+	1.91	2.65E-07	1.39E-05
mRNA-containing ribonucleoprotein complex export from nucleus (GO:0071427)	110	70	30.98	+	2.26	2.77E-07	1.44E-05
mRNA export from nucleus (GO:0006406)	110	70	30.98	+	2.26	2.77E-07	1.44E-05
neuropeptide signaling pathway (GO:0007218)	109	5	30.70	-	.16	3.02E-07	1.56E-05
phosphorus metabolic process (GO:0006793)	1835	648	516.87	+	1.25	3.03E-07	1.56E-05
lymphocyte mediated immunity (GO:0002449)	259	30	72.95	-	.41	3.10E-07	1.59E-05
positive regulation of transcription, DNA-templated (GO:0045893)	1628	583	458.56	+	1.27	3.34E-07	1.70E-05
positive regulation of nucleic acid-templated transcription (GO:1903508)	1628	583	458.56	+	1.27	3.34E-07	1.71E-05
positive regulation of RNA biosynthetic process (GO:1902680)	1629	583	458.84	+	1.27	3.38E-07	1.72E-05
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	269	32	75.77	-	.42	3.65E-07	1.85E-05
DNA conformation change (GO:0071103)	312	148	87.88	+	1.68	3.66E-07	1.85E-05
endosomal transport (GO:0016197)	235	119	66.19	+	1.80	3.89E-07	1.96E-05
leukocyte migration (GO:0050900)	379	54	106.75	-	.51	4.14E-07	2.08E-05
localization (GO:0051179)	5831	1842	1642.42	+	1.12	4.22E-07	2.10E-05
spindle organization (GO:0007051)	224	115	63.09	+	1.82	4.21E-07	2.11E-05
trans-synaptic signaling (GO:0099537)	432	65	121.68	-	.53	4.24E-07	2.11E-05
chromosome segregation (GO:0007059)	286	138	80.56	+	1.71	4.26E-07	2.11E-05
nucleic acid transport (GO:0050657)	189	101	53.24	+	1.90	4.76E-07	2.34E-05
regulation of immune effector process (GO:0002697)	435	66	122.53	-	.54	4.78E-07	2.35E-05
RNA transport (GO:0050658)	189	101	53.24	+	1.90	4.76E-07	2.35E-05
immunoglobulin mediated immune response (GO:0016064)	201	20	56.62	-	.35	4.81E-07	2.36E-05
regulation of protein stability (GO:0031647)	306	145	86.19	+	1.68	5.16E-07	2.52E-05
response to biotic stimulus (GO:0009607)	1547	327	435.74	-	.75	5.38E-07	2.62E-05
external encapsulating structure organization (GO:0045229)	386	56	108.72	-	.52	5.48E-07	2.66E-05
cornification (GO:0070268)	113	6	31.83	-	.19	5.76E-07	2.79E-05
cellular respiration (GO:0045333)	187	100	52.67	+	1.90	5.93E-07	2.86E-05
negative regulation of nucleic acid-templated transcription (GO:1903507)	1299	476	365.89	+	1.30	5.99E-07	2.88E-05
organelle fission (GO:0048285)	369	167	103.94	+	1.61	6.47E-07	3.10E-05
aerobic respiration (GO:0009060)	160	89	45.07	+	1.97	6.59E-07	3.15E-05
regulation of transcription by RNA polymerase II (GO:0006357)	2595	878	730.93	+	1.20	6.62E-07	3.15E-05
positive regulation of cellular protein metabolic process (GO:0032270)	1474	531	415.18	+	1.28	6.67E-07	3.17E-05
protein folding (GO:0006457)	233	117	65.63	+	1.78	6.69E-07	3.17E-05
Golgi vesicle transport (GO:0048193)	398	177	112.10	+	1.58	7.07E-07	3.31E-05
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	166	91	46.76	+	1.95	7.06E-07	3.31E-05
negative regulation of RNA biosynthetic process (GO:1902679)	1301	476	366.45	+	1.30	7.06E-07	3.32E-05
regulation of DNA metabolic process (GO:0051052)	372	168	104.78	+	1.60	7.06E-07	3.33E-05
negative regulation of transcription, DNA-templated (GO:0045892)	1297	474	365.33	+	1.30	7.95E-07	3.71E-05
phosphate-containing compound metabolic process (GO:0006796)	1808	635	509.26	+	1.25	8.27E-07	3.84E-05
locomotion (GO:0040011)	1345	279	378.85	-	.74	8.46E-07	3.91E-05
nucleobase-containing compound transport (GO:0015931)	245	121	69.01	+	1.75	8.46E-07	3.92E-05
snRNA transcription (GO:0009301)	71	51	20.00	+	2.55	8.58E-07	3.95E-05
microtubule-based process (GO:0007017)	806	315	227.03	+	1.39	8.98E-07	4.13E-05
extracellular matrix organization (GO:0030198)	383	56	107.88	-	.52	9.04E-07	4.14E-05
nuclear division (GO:0000280)	339	155	95.49	+	1.62	9.54E-07	4.36E-05
cell cycle phase transition (GO:0044770)	270	130	76.05	+	1.71	9.79E-07	4.46E-05
mRNA transport (GO:0051028)	160	88	45.07	+	1.95	9.84E-07	4.47E-05
protein-DNA complex assembly (GO:0065004)	256	125	72.11	+	1.73	9.88E-07	4.48E-05
mitochondrial respiratory chain complex assembly (GO:0033108)	101	64	28.45	+	2.25	1.03E-06	4.64E-05
anterograde trans-synaptic signaling (GO:0098916)	414	63	116.61	-	.54	1.07E-06	4.80E-05
chemical synaptic transmission (GO:0007268)	414	63	116.61	-	.54	1.07E-06	4.81E-05
epidermal cell differentiation (GO:0009913)	322	44	90.70	-	.49	1.15E-06	5.14E-05
response to stimulus (GO:0050896)	8540	2200	2405.46	-	.91	1.19E-06	5.32E-05
ATP metabolic process (GO:0046034)	206	106	58.02	+	1.83	1.20E-06	5.36E-05
snRNA transcription by RNA polymerase II (GO:0042795)	70	50	19.72	+	2.54	1.24E-06	5.52E-05
extracellular structure organization (GO:0043062)	384	57	108.16	-	.53	1.30E-06	5.75E-05
organelle localization (GO:0051640)	609	248	171.54	+	1.45	1.32E-06	5.84E-05
energy derivation by oxidation of organic compounds (GO:0015980)	256	124	72.11	+	1.72	1.35E-06	5.95E-05
sister chromatid segregation (GO:0000819)	149	83	41.97	+	1.98	1.41E-06	6.19E-05
positive regulation of organelle organization (GO:0010638)	605	246	170.41	+	1.44	1.51E-06	6.63E-05
plasma membrane invagination (GO:0099024)	141	11	39.72	-	.28	1.62E-06	7.09E-05
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	135	77	38.03	+	2.02	1.66E-06	7.23E-05
mitotic cell cycle phase transition (GO:0044772)	262	126	73.80	+	1.71	1.70E-06	7.37E-05
regulation of ion transport (GO:0043269)	703	128	198.01	-	.65	1.74E-06	7.55E-05
cell cycle checkpoint signaling (GO:0000075)	188	98	52.95	+	1.85	1.76E-06	7.59E-05
negative regulation of immune system process (GO:0002683)	597	104	168.16	-	.62	1.78E-06	7.65E-05
mitochondrial transport (GO:0006839)	235	116	66.19	+	1.75	1.83E-06	7.87E-05
mRNA destabilization (GO:0061157)	90	58	25.35	+	2.29	2.05E-06	8.80E-05
double-strand break repair (GO:0006302)	204	104	57.46	+	1.81	2.08E-06	8.89E-05
G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)	67	1	18.87	-	.05	2.14E-06	9.11E-05
positive regulation of mRNA metabolic process (GO:1903313)	136	77	38.31	+	2.01	2.51E-06	1.07E-04
mRNA 3'-end processing (GO:0031124)	88	57	24.79	+	2.30	2.52E-06	1.07E-04
positive regulation of immune system process (GO:0002684)	1069	216	301.11	-	.72	2.57E-06	1.08E-04
protein alkylation (GO:0008213)	131	75	36.90	+	2.03	2.56E-06	1.08E-04
protein methylation (GO:0006479)	131	75	36.90	+	2.03	2.56E-06	1.08E-04
response to endoplasmic reticulum stress (GO:0034976)	260	124	73.23	+	1.69	2.80E-06	1.17E-04
ribosomal small subunit biogenesis (GO:0042274)	73	50	20.56	+	2.43	3.03E-06	1.27E-04
RNA destabilization (GO:0050779)	94	59	26.48	+	2.23	3.11E-06	1.30E-04
ribosome assembly (GO:0042255)	62	45	17.46	+	2.58	3.15E-06	1.31E-04
positive regulation of cellular amide metabolic process (GO:0034250)	168	89	47.32	+	1.88	3.17E-06	1.32E-04
regulation of mRNA processing (GO:0050684)	140	78	39.43	+	1.98	3.32E-06	1.37E-04
mitotic spindle organization (GO:0007052)	163	87	45.91	+	1.89	3.35E-06	1.38E-04
antimicrobial humoral response (GO:0019730)	154	14	43.38	-	.32	3.50E-06	1.44E-04
DNA-dependent DNA replication (GO:0006261)	195	99	54.93	+	1.80	3.54E-06	1.45E-04
positive regulation of cellular component organization (GO:0051130)	1161	424	327.02	+	1.30	3.56E-06	1.46E-04
oxidative phosphorylation (GO:0006119)	120	70	33.80	+	2.07	3.62E-06	1.48E-04
viral life cycle (GO:0019058)	230	112	64.78	+	1.73	3.69E-06	1.50E-04
organophosphate biosynthetic process (GO:0090407)	552	225	155.48	+	1.45	3.69E-06	1.50E-04
immune system process (GO:0002376)	2903	683	817.69	-	.84	4.20E-06	1.70E-04
macroautophagy (GO:0016236)	199	100	56.05	+	1.78	4.33E-06	1.75E-04
tRNA modification (GO:0006400)	93	58	26.20	+	2.21	4.37E-06	1.76E-04
regulation of RNA splicing (GO:0043484)	150	81	42.25	+	1.92	4.56E-06	1.83E-04
regulation of autophagy (GO:0010506)	331	148	93.23	+	1.59	4.58E-06	1.84E-04
regulation of response to DNA damage stimulus (GO:2001020)	223	109	62.81	+	1.74	4.95E-06	1.98E-04
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	184	94	51.83	+	1.81	5.38E-06	2.15E-04
microtubule cytoskeleton organization (GO:0000226)	567	229	159.71	+	1.43	5.83E-06	2.32E-04
negative regulation of defense response (GO:0031348)	402	64	113.23	-	.57	5.90E-06	2.34E-04
mitotic sister chromatid segregation (GO:0000070)	121	69	34.08	+	2.02	5.94E-06	2.35E-04
skin development (GO:0043588)	385	60	108.44	-	.55	6.02E-06	2.38E-04
DNA-templated transcription, termination (GO:0006353)	79	52	22.25	+	2.34	6.04E-06	2.38E-04
positive regulation of chromosome organization (GO:2001252)	182	93	51.26	+	1.81	6.71E-06	2.64E-04
RNA phosphodiester bond hydrolysis (GO:0090501)	164	86	46.19	+	1.86	7.07E-06	2.77E-04
nuclear chromosome segregation (GO:0098813)	227	109	63.94	+	1.70	7.99E-06	3.13E-04
regulation of protein ubiquitination (GO:0031396)	213	104	60.00	+	1.73	8.03E-06	3.13E-04
chromatin remodeling (GO:0006338)	173	89	48.73	+	1.83	8.17E-06	3.17E-04
regulation of complement activation (GO:0030449)	118	9	33.24	-	.27	8.15E-06	3.17E-04
positive regulation of mRNA catabolic process (GO:0061014)	105	62	29.58	+	2.10	8.19E-06	3.17E-04
positive regulation of translation (GO:0045727)	137	75	38.59	+	1.94	8.22E-06	3.18E-04
epithelial cell differentiation (GO:0030855)	686	129	193.23	-	.67	9.24E-06	3.56E-04
regulation of humoral immune response (GO:0002920)	142	13	40.00	-	.33	9.39E-06	3.61E-04
epidermis development (GO:0008544)	422	69	118.86	-	.58	9.88E-06	3.79E-04
signal transduction in response to DNA damage (GO:0042770)	167	86	47.04	+	1.83	1.16E-05	4.43E-04
regulation of immune system process (GO:0002682)	1717	383	483.63	-	.79	1.24E-05	4.73E-04
regulation of gene silencing (GO:0060968)	116	66	32.67	+	2.02	1.28E-05	4.87E-04
blood circulation (GO:0008015)	390	63	109.85	-	.57	1.28E-05	4.88E-04
synaptic signaling (GO:0099536)	464	79	130.70	-	.60	1.29E-05	4.89E-04
DNA recombination (GO:0006310)	225	107	63.38	+	1.69	1.33E-05	5.00E-04
biological process involved in interspecies interaction between organisms (GO:0044419)	1593	352	448.70	-	.78	1.32E-05	5.00E-04
negative regulation of immune response (GO:0050777)	373	59	105.06	-	.56	1.33E-05	5.00E-04
respiratory electron transport chain (GO:0022904)	112	64	31.55	+	2.03	1.40E-05	5.24E-04
regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618)	112	64	31.55	+	2.03	1.40E-05	5.26E-04
regulation of gene silencing by RNA (GO:0060966)	97	58	27.32	+	2.12	1.42E-05	5.30E-04
cell surface receptor signaling pathway (GO:0007166)	2495	584	702.77	-	.83	1.48E-05	5.51E-04
RNA methylation (GO:0001510)	88	54	24.79	+	2.18	1.49E-05	5.53E-04
mitotic cell cycle checkpoint signaling (GO:0007093)	159	82	44.79	+	1.83	1.52E-05	5.62E-04
regulation of DNA-templated transcription in response to stress (GO:0043620)	118	66	33.24	+	1.99	1.52E-05	5.62E-04
endomembrane system organization (GO:0010256)	530	212	149.29	+	1.42	1.87E-05	6.90E-04
regulation of posttranscriptional gene silencing (GO:0060147)	96	57	27.04	+	2.11	1.97E-05	7.24E-04
regulation of cell cycle G2/M phase transition (GO:1902749)	222	105	62.53	+	1.68	2.07E-05	7.61E-04
ATP synthesis coupled electron transport (GO:0042773)	93	55	26.20	+	2.10	2.40E-05	8.79E-04
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	93	55	26.20	+	2.10	2.40E-05	8.81E-04
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	156	80	43.94	+	1.82	2.47E-05	9.01E-04
DNA integrity checkpoint signaling (GO:0031570)	150	78	42.25	+	1.85	2.51E-05	9.12E-04
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	212	101	59.71	+	1.69	2.50E-05	9.12E-04
generation of precursor metabolites and energy (GO:0006091)	403	168	113.51	+	1.48	2.65E-05	9.61E-04
protein acylation (GO:0043543)	178	88	50.14	+	1.76	2.74E-05	9.91E-04
positive regulation of proteolysis involved in cellular protein catabolic process (GO:1903052)	134	71	37.74	+	1.88	2.92E-05	1.06E-03
regulation of gene expression, epigenetic (GO:0040029)	173	86	48.73	+	1.76	2.97E-05	1.07E-03
phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	100	7	28.17	-	.25	3.01E-05	1.08E-03
positive regulation of immune response (GO:0050778)	747	147	210.41	-	.70	3.22E-05	1.15E-03
regulation of protein modification process (GO:0031399)	1654	567	465.88	+	1.22	3.28E-05	1.17E-03
vesicle organization (GO:0016050)	313	136	88.16	+	1.54	3.33E-05	1.19E-03
peptidyl-lysine acetylation (GO:0018394)	119	65	33.52	+	1.94	3.34E-05	1.19E-03
nucleosome organization (GO:0034728)	156	79	43.94	+	1.80	3.51E-05	1.25E-03
ion transport (GO:0006811)	1200	258	338.00	-	.76	3.54E-05	1.25E-03
positive regulation of protein catabolic process (GO:0045732)	237	109	66.76	+	1.63	3.54E-05	1.25E-03
nucleotide-excision repair (GO:0006289)	104	59	29.29	+	2.01	3.66E-05	1.29E-03
protein acetylation (GO:0006473)	138	72	38.87	+	1.85	3.71E-05	1.30E-03
cell migration (GO:0016477)	968	201	272.66	-	.74	3.74E-05	1.31E-03
positive regulation of viral process (GO:0048524)	89	53	25.07	+	2.11	3.76E-05	1.32E-03
regulation of gene silencing by miRNA (GO:0060964)	94	55	26.48	+	2.08	3.76E-05	1.32E-03
positive regulation of proteasomal protein catabolic process (GO:1901800)	115	63	32.39	+	1.94	3.81E-05	1.33E-03
cell motility (GO:0048870)	1109	236	312.37	-	.76	4.24E-05	1.47E-03
localization of cell (GO:0051674)	1109	236	312.37	-	.76	4.24E-05	1.47E-03
chemotaxis (GO:0006935)	547	101	154.07	-	.66	4.29E-05	1.48E-03
cell aging (GO:0007569)	76	47	21.41	+	2.20	4.28E-05	1.48E-03
response to ionizing radiation (GO:0010212)	148	76	41.69	+	1.82	4.39E-05	1.51E-03
leukocyte chemotaxis (GO:0030595)	143	15	40.28	-	.37	4.55E-05	1.57E-03
taxis (GO:0042330)	550	102	154.92	-	.66	4.56E-05	1.57E-03
apoptotic process (GO:0006915)	913	333	257.16	+	1.29	4.73E-05	1.62E-03
chromatin assembly or disassembly (GO:0006333)	170	84	47.88	+	1.75	4.81E-05	1.64E-03
circulatory system process (GO:0003013)	481	86	135.48	-	.63	4.86E-05	1.66E-03
signal transduction by p53 class mediator (GO:0072331)	119	64	33.52	+	1.91	4.96E-05	1.69E-03
aerobic electron transport chain (GO:0019646)	88	52	24.79	+	2.10	5.21E-05	1.77E-03
positive regulation of cell activation (GO:0050867)	440	77	123.93	-	.62	5.44E-05	1.85E-03
regulation of macroautophagy (GO:0016241)	161	80	45.35	+	1.76	5.97E-05	2.02E-03
virion assembly (GO:0019068)	39	30	10.99	+	2.73	6.10E-05	2.06E-03
positive regulation of lymphocyte activation (GO:0051251)	384	65	108.16	-	.60	6.87E-05	2.31E-03
positive regulation of leukocyte activation (GO:0002696)	429	75	120.84	-	.62	6.94E-05	2.34E-03
ATP-dependent chromatin remodeling (GO:0043044)	77	47	21.69	+	2.17	7.12E-05	2.39E-03
telomere organization (GO:0032200)	103	57	29.01	+	1.96	7.45E-05	2.50E-03
mitochondrial membrane organization (GO:0007006)	146	74	41.12	+	1.80	7.61E-05	2.54E-03
mitochondrial RNA metabolic process (GO:0000959)	41	31	11.55	+	2.68	7.75E-05	2.58E-03
histone acetylation (GO:0016573)	110	60	30.98	+	1.94	8.02E-05	2.67E-03
regulation of blood pressure (GO:0008217)	188	24	52.95	-	.45	8.03E-05	2.67E-03
internal peptidyl-lysine acetylation (GO:0018393)	116	62	32.67	+	1.90	8.18E-05	2.71E-03
protein stabilization (GO:0050821)	198	93	55.77	+	1.67	8.21E-05	2.72E-03
negative regulation of cellular protein metabolic process (GO:0032269)	1040	371	292.94	+	1.27	8.28E-05	2.73E-03
negative regulation of G1/S transition of mitotic cell cycle (GO:2000134)	111	60	31.27	+	1.92	8.58E-05	2.82E-03
maturation of 5.8S rRNA (GO:0000460)	35	28	9.86	+	2.84	8.62E-05	2.83E-03
DNA damage response, signal transduction by p53 class mediator (GO:0030330)	79	47	22.25	+	2.11	8.66E-05	2.83E-03
DNA damage checkpoint signaling (GO:0000077)	142	72	40.00	+	1.80	8.64E-05	2.83E-03
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	134	14	37.74	-	.37	8.80E-05	2.87E-03
positive regulation of cellular protein catabolic process (GO:1903364)	156	77	43.94	+	1.75	8.98E-05	2.93E-03
regulation of postsynaptic membrane potential (GO:0060078)	99	8	27.89	-	.29	9.03E-05	2.94E-03
carbohydrate derivative biosynthetic process (GO:1901137)	604	231	170.13	+	1.36	9.06E-05	2.94E-03
RNA phosphodiester bond hydrolysis, exonucleolytic (GO:0090503)	42	31	11.83	+	2.62	9.15E-05	2.96E-03
negative regulation of transcription by RNA polymerase II (GO:0000122)	906	328	255.19	+	1.29	9.13E-05	2.96E-03
regulation of cell cycle G1/S phase transition (GO:1902806)	178	85	50.14	+	1.70	9.28E-05	2.99E-03
positive regulation of cell cycle (GO:0045787)	310	132	87.32	+	1.51	9.85E-05	3.17E-03
peptidyl-lysine methylation (GO:0018022)	86	50	24.22	+	2.06	9.96E-05	3.20E-03
regulation of mRNA splicing, via spliceosome (GO:0048024)	102	56	28.73	+	1.95	1.01E-04	3.25E-03
cellular response to oxygen levels (GO:0071453)	220	100	61.97	+	1.61	1.02E-04	3.28E-03
lymphocyte chemotaxis (GO:0048247)	49	1	13.80	-	.07	1.03E-04	3.30E-03
positive regulation of B cell activation (GO:0050871)	171	21	48.17	-	.44	1.04E-04	3.31E-03
negative regulation of cellular catabolic process (GO:0031330)	257	113	72.39	+	1.56	1.09E-04	3.48E-03
negative regulation of cell cycle G1/S phase transition (GO:1902807)	115	61	32.39	+	1.88	1.10E-04	3.49E-03
detection of biotic stimulus (GO:0009595)	38	0	10.70	-	 < 0.01	1.14E-04	3.61E-03
negative regulation of catabolic process (GO:0009895)	317	134	89.29	+	1.50	1.15E-04	3.65E-03
serotonin receptor signaling pathway (GO:0007210)	39	0	10.99	-	 < 0.01	1.18E-04	3.72E-03
regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061418)	78	46	21.97	+	2.09	1.20E-04	3.79E-03
defense response to Gram-negative bacterium (GO:0050829)	91	7	25.63	-	.27	1.22E-04	3.82E-03
microtubule organizing center organization (GO:0031023)	100	55	28.17	+	1.95	1.26E-04	3.95E-03
internal protein amino acid acetylation (GO:0006475)	118	62	33.24	+	1.87	1.29E-04	4.04E-03
establishment of organelle localization (GO:0051656)	398	161	112.10	+	1.44	1.29E-04	4.05E-03
negative regulation of protein metabolic process (GO:0051248)	1112	391	313.22	+	1.25	1.33E-04	4.16E-03
membrane invagination (GO:0010324)	148	17	41.69	-	.41	1.40E-04	4.34E-03
ion transmembrane transport (GO:0034220)	870	182	245.05	-	.74	1.42E-04	4.42E-03
positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	91	51	25.63	+	1.99	1.46E-04	4.52E-03
regulation of cytosolic calcium ion concentration (GO:0051480)	321	53	90.42	-	.59	1.52E-04	4.71E-03
microtubule-based transport (GO:0099111)	192	89	54.08	+	1.65	1.54E-04	4.76E-03
cell-cell signaling (GO:0007267)	1131	247	318.57	-	.78	1.57E-04	4.85E-03
anaphase-promoting complex-dependent catabolic process (GO:0031145)	87	49	24.51	+	2.00	1.66E-04	5.09E-03
telomere maintenance (GO:0000723)	99	54	27.89	+	1.94	1.71E-04	5.24E-03
transport along microtubule (GO:0010970)	157	76	44.22	+	1.72	1.71E-04	5.25E-03
mitotic DNA integrity checkpoint signaling (GO:0044774)	123	63	34.65	+	1.82	1.74E-04	5.32E-03
multi-organism transport (GO:0044766)	63	39	17.75	+	2.20	1.77E-04	5.39E-03
multi-organism localization (GO:1902579)	63	39	17.75	+	2.20	1.77E-04	5.40E-03
response to UV (GO:0009411)	151	74	42.53	+	1.74	1.80E-04	5.46E-03
sodium ion transmembrane transport (GO:0035725)	119	12	33.52	-	.36	1.80E-04	5.46E-03
detection of chemical stimulus involved in sensory perception of bitter taste (GO:0001580)	36	0	10.14	-	 < 0.01	1.82E-04	5.51E-03
regulation of systemic arterial blood pressure (GO:0003073)	100	9	28.17	-	.32	1.84E-04	5.58E-03
regulation of response to external stimulus (GO:0032101)	1199	265	337.72	-	.78	1.86E-04	5.62E-03
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)	60	38	16.90	+	2.25	1.93E-04	5.80E-03
termination of RNA polymerase II transcription (GO:0006369)	40	29	11.27	+	2.57	1.97E-04	5.92E-03
protein localization to mitochondrion (GO:0070585)	85	48	23.94	+	2.00	2.04E-04	6.12E-03
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	108	57	30.42	+	1.87	2.08E-04	6.24E-03
vacuolar transport (GO:0007034)	155	75	43.66	+	1.72	2.12E-04	6.35E-03
transport of virus (GO:0046794)	61	38	17.18	+	2.21	2.16E-04	6.43E-03
histone methylation (GO:0016571)	91	50	25.63	+	1.95	2.21E-04	6.59E-03
post-translational protein modification (GO:0043687)	361	147	101.68	+	1.45	2.25E-04	6.68E-03
regulation of stem cell differentiation (GO:2000736)	116	60	32.67	+	1.84	2.30E-04	6.81E-03
regulation of translational initiation (GO:0006446)	81	46	22.82	+	2.02	2.30E-04	6.82E-03
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	49	33	13.80	+	2.39	2.34E-04	6.92E-03
positive regulation of protein modification by small protein conjugation or removal (GO:1903322)	143	70	40.28	+	1.74	2.35E-04	6.93E-03
cell cycle G2/M phase transition (GO:0044839)	143	70	40.28	+	1.74	2.35E-04	6.94E-03
regulation of intracellular transport (GO:0032386)	364	148	102.53	+	1.44	2.38E-04	6.98E-03
granulocyte chemotaxis (GO:0071621)	82	6	23.10	-	.26	2.39E-04	7.00E-03
regulation of DNA repair (GO:0006282)	130	65	36.62	+	1.78	2.44E-04	7.15E-03
regulation of system process (GO:0044057)	585	115	164.78	-	.70	2.51E-04	7.32E-03
centrosome cycle (GO:0007098)	88	49	24.79	+	1.98	2.51E-04	7.33E-03
intracellular transport of virus (GO:0075733)	54	35	15.21	+	2.30	2.57E-04	7.48E-03
activation of immune response (GO:0002253)	530	102	149.29	-	.68	2.58E-04	7.49E-03
regulation of cell activation (GO:0050865)	664	134	187.03	-	.72	2.60E-04	7.54E-03
protein localization to nucleus (GO:0034504)	168	79	47.32	+	1.67	2.64E-04	7.65E-03
mitotic DNA damage checkpoint signaling (GO:0044773)	119	61	33.52	+	1.82	2.69E-04	7.77E-03
regulation of programmed cell death (GO:0043067)	1532	517	431.52	+	1.20	2.72E-04	7.84E-03
regulation of cell death (GO:0010941)	1668	558	469.83	+	1.19	2.74E-04	7.90E-03
cellular response to decreased oxygen levels (GO:0036294)	202	91	56.90	+	1.60	2.81E-04	8.06E-03
positive regulation of cytosolic calcium ion concentration (GO:0007204)	283	46	79.71	-	.58	2.82E-04	8.06E-03
